Date,Route,Rating,Notes,URL,Pitches,Location,Avg Stars,Your Stars,Style,Lead Style,Route Type,Your Grade,Length,Route Crag,Route State
2020-09-04,Bonaire,5.9,No Notes,https://www.mountainproject.com/route/105732515/bonaire,1,Nevada > Southern Nevada > Red Rocks > 04-Second Pullout (Calico II) > The Black Corridor > Lower Level > Lower Level - Left,2.4,-1,Follow,Not Led,Sport,Not Assigned,80.0,Lower Level - Left,Nevada
2020-09-04,Unknown 5.9 (AKA L3),5.9+ PG13,No Notes,https://www.mountainproject.com/route/106876316/unknown-59-aka-l3,1,Nevada > Southern Nevada > Red Rocks > 04-Second Pullout (Calico II) > The Black Corridor > Lower Level > Lower Level - Left,2.1,-1,Follow,Not Led,Sport,Not Assigned,60.0,Lower Level - Left,Nevada
2020-09-03,Byzantium,5.10b,No Notes,https://www.mountainproject.com/route/106686416/byzantium,1,Nevada > Southern Nevada > Red Rocks > 03-First Pullout (Calico I) > Civilization Crag,2.4,-1,Follow,Not Led,Sport,Not Assigned,45.0,Civilization Crag,Nevada
2020-09-03,Babylon 5.8,5.8,No Notes,https://www.mountainproject.com/route/106757206/babylon-58,1,Nevada > Southern Nevada > Red Rocks > 03-First Pullout (Calico I) > Civilization Crag,1.9,-1,Follow,Not Led,Sport,Not Assigned,40.0,Civilization Crag,Nevada
2020-09-03,This is Sparta,5.9,No Notes,https://www.mountainproject.com/route/106757203/this-is-sparta,1,Nevada > Southern Nevada > Red Rocks > 03-First Pullout (Calico I) > Civilization Crag,2.0,-1,Follow,Not Led,Sport,Not Assigned,60.0,Civilization Crag,Nevada
2020-09-03,Manifest Destiny,5.9+,No Notes,https://www.mountainproject.com/route/106718688/manifest-destiny,1,Nevada > Southern Nevada > Red Rocks > 03-First Pullout (Calico I) > Civilization Crag,3.0,-1,Follow,Not Led,Sport,Not Assigned,70.0,Civilization Crag,Nevada
2020-09-03,The Fall of Rome,5.10b,Tough,https://www.mountainproject.com/route/106718692/the-fall-of-rome,1,Nevada > Southern Nevada > Red Rocks > 03-First Pullout (Calico I) > Civilization Crag,2.6,-1,Follow,Not Led,Sport,Not Assigned,70.0,Civilization Crag,Nevada
2020-08-29,Freeway,5.0,No Notes,https://www.mountainproject.com/route/105752023/freeway,6,Colorado > Boulder > Flatirons > North > Second Flatiron,3.3,-1,Solo,Not Led,Trad,Not Assigned,600.0,Second Flatiron,Colorado
2020-08-14,Verschneidung Dihedral,5.7,No Notes,https://www.mountainproject.com/route/105748936/verschneidung-dihedral,2,Colorado > Boulder > Eldorado Canyon State Park > The West Ridge > West Ridge - part A - Verschneidung to base,2.9,-1,Follow,Not Led,Trad,Not Assigned,200.0,West Ridge - part A - Verschneidung to base,Colorado
2020-08-10,Honky Jam Ass Crack,5.7,No Notes,https://www.mountainproject.com/route/105750361/honky-jam-ass-crack,1,Colorado > South Platte > Turkey Rocks > Turkey Perch,2.8,-1,TR,Not Led,"Trad, TR",Not Assigned,78.0,Turkey Perch,Colorado
2020-08-10,Reefer Madness,5.8,No Notes,https://www.mountainproject.com/route/105748822/reefer-madness,1,Colorado > South Platte > Turkey Rocks > Turkey Perch,2.9,-1,TR,Not Led,Trad,Not Assigned,78.0,Turkey Perch,Colorado
2020-08-08,Time Stands Still,5.10b,No Notes,https://www.mountainproject.com/route/115391614/time-stands-still,7,Colorado > South Platte > Devil's Head > Devil's Head Rock,3.3,-1,Follow,Not Led,Sport,Not Assigned,78.0,Devil's Head Rock,Colorado
2020-07-31,Tomb of Sorrows,5.8,No Notes,https://www.mountainproject.com/route/105761367/tomb-of-sorrows,1,Colorado > Boulder > Boulder Canyon > Avalon > Second Tier > Middle Wall,1.7,-1,TR,Not Led,Sport,Not Assigned,75.0,Middle Wall,Colorado
2020-07-31,Start Me Up,5.7,No Notes,https://www.mountainproject.com/route/105761160/start-me-up,1,Colorado > Boulder > Boulder Canyon > Solaris,1.7,-1,TR,Not Led,Sport,Not Assigned,70.0,Solaris,Colorado
2020-07-31,The Luminosity,5.9,No Notes,https://www.mountainproject.com/route/105761157/the-luminosity,1,Colorado > Boulder > Boulder Canyon > Solaris,3.0,-1,TR,Not Led,Sport,Not Assigned,85.0,Solaris,Colorado
2020-07-10,Sword In The Stone,5.9+,No Notes,https://www.mountainproject.com/route/105862660/sword-in-the-stone,1,Colorado > Boulder > Boulder Canyon > Avalon > First Tier,2.5,-1,TR,Not Led,Sport,Not Assigned,70.0,First Tier,Colorado
2020-07-06,Jump Start,5.9,No Notes,https://www.mountainproject.com/route/106310492/jump-start,1,Colorado > South Platte > Turkey Rocks > Turkey Rock,2.7,-1,TR,Not Led,Trad,Not Assigned,60.0,Turkey Rock,Colorado
